"","Shade_tree_species","Section_of_Kaweri","sample_code","Coffee_Variety","Actual_distance_from_shade_tree_m","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class"
"1","Fn","Kitagweta","FIC1COF1_Kita","Op2",3,38.37,"FIC1_Kita","31° 29′ 7.5″ E","0° 37′ 39.4″ N",31.4854166666667,0.627611111111111,"[0-8]"
"2","Fn","Kitagweta","FIC1COF2_Kita","Op2",12,38.37,"FIC1_Kita","31° 29′ 7.5″ E","0° 37′ 39.4″ N",31.4854166666667,0.627611111111111,"(8-16]"
"3","Fn","Kitagweta","FIC1COF3_Kita","Op2",22,38.37,"FIC1_Kita","31° 29′ 7.5″ E","0° 37′ 39.4″ N",31.4854166666667,0.627611111111111,"(16-22]"
"4","Fn","Kitagweta","FIC4COF1_Kita","Clone C",3,19.49,"FIC4_Kita","31° 28′ 7.5″ E","0° 37′ 38.4″ N",31.46875,0.627333333333333,"[0-8]"
"5","Fn","Kitagweta","FIC4COF2_Kita","Op1",10,19.49,"FIC4_Kita","31° 28′ 7.5″ E","0° 37′ 38.4″ N",31.46875,0.627333333333333,"(8-16]"
"6","Fn","Kitagweta","FIC4COF3_Kita","Clone C",18,19.49,"FIC4_Kita","31° 28′ 7.5″ E","0° 37′ 38.4″ N",31.46875,0.627333333333333,"(16-22]"
"7","Fn","Kitagweta","FIC5COF1_Kita","Clone C",5,21.99,"FIC5_Kita","31° 28′ 8.2″ E","0° 37′ 38.2″ N",31.4689444444444,0.627277777777778,"[0-8]"
"8","Fn","Kitagweta","FIC5COF2_Kita","Clone C",10,21.99,"FIC5_Kita","31° 28′ 8.2″ E","0° 37′ 38.2″ N",31.4689444444444,0.627277777777778,"(8-16]"
"9","Fn","Kitagweta","FIC5COF3_Kita","Op1",20,21.99,"FIC5_Kita","31° 28′ 8.2″ E","0° 37′ 38.2″ N",31.4689444444444,0.627277777777778,"(16-22]"
"10","Fn","Kitagweta","FIC9COF1_Kita","Clone F",5,48.01,"FIC9_Kita","31° 27′ 56.6″ E","0° 37′ 25.2″ N",31.4657222222222,0.623666666666667,"[0-8]"
"11","Fn","Kitagweta","FIC9COF2_Kita","Clone B",10,48.01,"FIC9_Kita","31° 27′ 56.6″ E","0° 37′ 25.2″ N",31.4657222222222,0.623666666666667,"(8-16]"
"12","Fn","Kitagweta","FIC9COF3_Kita","Op1",20,48.01,"FIC9_Kita","31° 27′ 56.6″ E","0° 37′ 25.2″ N",31.4657222222222,0.623666666666667,"(16-22]"
"13","Ac","Kitagweta","ALB5COF1_Kita","Clone B",5,2.95,"ALB5_Kita","31° 28′ 9.2″ E","0° 37′ 34.5″ N",31.4692222222222,0.62625,"[0-8]"
"14","Ac","Kitagweta","ALB5COF2_Kita","Clone C",10,2.95,"ALB5_Kita","31° 28′ 9.2″ E","0° 37′ 34.5″ N",31.4692222222222,0.62625,"(8-16]"
"15","Ac","Kitagweta","ALB5COF3_Kita","Clone B",20,2.95,"ALB5_Kita","31° 28′ 9.2″ E","0° 37′ 34.5″ N",31.4692222222222,0.62625,"(16-22]"
"16","Ac","Kitagweta","ALB6COF1_Kita","Op2",5,0.12,"ALB6_Kita","31° 28′ 17.5″ E","0° 37′ 33.3″ N",31.4715277777778,0.625916666666667,"[0-8]"
"17","Ac","Kitagweta","ALB6COF2_Kita","Op2",10,0.12,"ALB6_Kita","31° 28′ 17.5″ E","0° 37′ 33.3″ N",31.4715277777778,0.625916666666667,"(8-16]"
"18","Ac","Kitagweta","ALB6COF3_Kita","Op2",21,0.12,"ALB6_Kita","31° 28′ 17.5″ E","0° 37′ 33.3″ N",31.4715277777778,0.625916666666667,"(16-22]"
"19","Ac","Kitagweta","ALB7COF1_Kita","Clone C",5,0.74,"ALB7_Kita","31° 28′ 17.1″ E","0° 37′ 32.2″ N",31.4714166666667,0.625611111111111,"[0-8]"
"20","Ac","Kitagweta","ALB7COF2_Kita","Clone A",12,0.74,"ALB7_Kita","31° 28′ 17.1″ E","0° 37′ 32.2″ N",31.4714166666667,0.625611111111111,"(8-16]"
"21","Ac","Kitagweta","ALB7COF3_Kita","Op1",22,0.74,"ALB7_Kita","31° 28′ 17.1″ E","0° 37′ 32.2″ N",31.4714166666667,0.625611111111111,"(16-22]"
"22","Ac","Kitagweta","ALB8COF1_Kita","Op1",3,23.01,"ALB8_Kita","31° 28′ 16.3″ E","0° 37′ 32.1″ N",31.4711944444444,0.625583333333333,"[0-8]"
"23","Ac","Kitagweta","ALB8COF2_Kita","Clone F",10,23.01,"ALB8_Kita","31° 28′ 16.3″ E","0° 37′ 32.1″ N",31.4711944444444,0.625583333333333,"(8-16]"
"24","Ac","Kitagweta","ALB8COF3_Kita","Clone B",19,23.01,"ALB8_Kita","31° 28′ 16.3″ E","0° 37′ 32.1″ N",31.4711944444444,0.625583333333333,"(16-22]"
"25","Ac","Kitagweta","ALB9COF1_Kita","Op1",5,16.65,"ALB9_Kita","31° 28′ 32″ E","0° 37′ 30.7″ N",31.4755555555556,0.625194444444444,"[0-8]"
"26","Ac","Kitagweta","ALB9COF2_Kita","Clone B",12,16.65,"ALB9_Kita","31° 28′ 32″ E","0° 37′ 30.7″ N",31.4755555555556,0.625194444444444,"(8-16]"
"27","Ac","Kitagweta","ALB9COF3_Kita","Clone B",20,16.65,"ALB9_Kita","31° 28′ 32″ E","0° 37′ 30.7″ N",31.4755555555556,0.625194444444444,"(16-22]"
"28","Ac","Kitagweta","ALB10COF1_Kita","Op2",3,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"[0-8]"
"29","Ac","Kitagweta","ALB10COF2_Kita","Op2",9,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"(8-16]"
"30","Ac","Kitagweta","ALB10COF3_Kita","Op2",20,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"(16-22]"
"31","Ah","Kitagweta","JAC6COF1_Kita","Clone A",5,21.62,"JAC6_Kita","31° 28′ 34.5″ E","0° 37′ 29.2″ N",31.47625,0.624777777777778,"[0-8]"
"32","Ah","Kitagweta","JAC6COF2_Kita","Clone C",10,21.62,"JAC6_Kita","31° 28′ 34.5″ E","0° 37′ 29.2″ N",31.47625,0.624777777777778,"(8-16]"
"33","Ah","Kitagweta","JAC6COF3_Kita","Clone B",21,21.62,"JAC6_Kita","31° 28′ 34.5″ E","0° 37′ 29.2″ N",31.47625,0.624777777777778,"(16-22]"
