"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"1","FIC1COF1_Kita","No_CWD_leaves_lower_portion_1st_branch",0,"CWD","leaves","lower","1st",10,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.30258509299405
"2","FIC1COF1_Kita","No_CWD_leaves_lower_portion_2nd_branch",0,"CWD","leaves","lower","2nd",19,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.94443897916644
"3","FIC1COF1_Kita","No_CWD_leaves_lower_portion_3rd_branch",0,"CWD","leaves","lower","3rd",23,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.13549421592915
"4","FIC1COF1_Kita","No_CWD_leaves_lower_portion_4th_branch",0,"CWD","leaves","lower","4th",11,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.39789527279837
"5","FIC1COF1_Kita","No_CLR_leaves_lower_portion_1st_branch",2,"CLR","leaves","lower","1st",10,0.2,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.30258509299405
"6","FIC1COF1_Kita","No_CLR_leaves_lower_portion_2nd_branch",4,"CLR","leaves","lower","2nd",19,0.210526315789474,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.94443897916644
"7","FIC1COF1_Kita","No_CLR_leaves_lower_portion_3rd_branch",7,"CLR","leaves","lower","3rd",23,0.304347826086957,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.13549421592915
"8","FIC1COF1_Kita","No_CLR_leaves_lower_portion_4th_branch",2,"CLR","leaves","lower","4th",11,0.181818181818182,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.39789527279837
"9","FIC1COF1_Kita","No_CRBD_leaves_lower_portion_1st_branch",0,"CRBD","leaves","lower","1st",10,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.30258509299405
"10","FIC1COF1_Kita","No_CRBD_leaves_lower_portion_2nd_branch",0,"CRBD","leaves","lower","2nd",19,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.94443897916644
"11","FIC1COF1_Kita","No_CRBD_leaves_lower_portion_3rd_branch",0,"CRBD","leaves","lower","3rd",23,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.13549421592915
"12","FIC1COF1_Kita","No_CRBD_leaves_lower_portion_4th_branch",0,"CRBD","leaves","lower","4th",11,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.39789527279837
"13","FIC1COF1_Kita","No_CRBD_berries_lower_portion_1st_branch",0,"CRBD","berries","lower","1st",9,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.19722457733622
"14","FIC1COF1_Kita","No_CRBD_berries_lower_portion_2nd_branch",3,"CRBD","berries","lower","2nd",86,0.0348837209302326,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",4.45434729625351
"15","FIC1COF1_Kita","No_CRBD_berries_lower_portion_3rd_branch",2,"CRBD","berries","lower","3rd",37,0.0540540540540541,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.61091791264422
"16","FIC1COF1_Kita","No_CRBD_berries_lower_portion_4th_branch",0,"CRBD","berries","lower","4th",76,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",4.33073334028633
"17","FIC1COF1_Kita","No_CWD_leaves_middle_portion_1st_branch",0,"CWD","leaves","middle","1st",15,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",2.70805020110221
"18","FIC1COF1_Kita","No_CWD_leaves_middle_portion_2nd_branch",0,"CWD","leaves","middle","2nd",23,0,"Fn","Kitagweta","Op2",3,"FIC1_Kita","[0-8]",3.13549421592915
