"","sample_code","disease","shrub_incidence","n","distance","Shade_tree_species","Shade_tree_soil_sample_CODE","Coffee_Variety","Section_of_kawerie"
"1","ALB10COF1_Kita","CLR",1,12,3,"Ac","ALB10_Kita","Op2","Kita"
"2","ALB10COF1_Kita","CRBD",1,12,3,"Ac","ALB10_Kita","Op2","Kita"
"3","ALB10COF1_Kita","CWD",1,12,3,"Ac","ALB10_Kita","Op2","Kita"
"4","ALB10COF2_Kita","CLR",1,12,9,"Ac","ALB10_Kita","Op2","Kita"
"5","ALB10COF2_Kita","CRBD",1,12,9,"Ac","ALB10_Kita","Op2","Kita"
"6","ALB10COF2_Kita","CWD",0,12,9,"Ac","ALB10_Kita","Op2","Kita"
"7","ALB10COF3_Kita","CLR",1,12,20,"Ac","ALB10_Kita","Op2","Kita"
"8","ALB10COF3_Kita","CRBD",1,12,20,"Ac","ALB10_Kita","Op2","Kita"
"9","ALB10COF3_Kita","CWD",1,12,20,"Ac","ALB10_Kita","Op2","Kita"
"10","ALB11COF1_Nonv","CLR",1,12,5,"Ac","ALB11_Nonv","Clone A","Nonv"
"11","ALB11COF1_Nonv","CRBD",1,12,5,"Ac","ALB11_Nonv","Clone A","Nonv"
"12","ALB11COF1_Nonv","CWD",1,12,5,"Ac","ALB11_Nonv","Clone A","Nonv"
"13","ALB11COF2_Nonv","CLR",1,12,10,"Ac","ALB11_Nonv","Clone A","Nonv"
"14","ALB11COF2_Nonv","CRBD",1,12,10,"Ac","ALB11_Nonv","Clone A","Nonv"
"15","ALB11COF2_Nonv","CWD",1,12,10,"Ac","ALB11_Nonv","Clone A","Nonv"
"16","ALB11COF3_Nonv","CLR",1,12,20,"Ac","ALB11_Nonv","Clone B","Nonv"
"17","ALB11COF3_Nonv","CRBD",1,12,20,"Ac","ALB11_Nonv","Clone B","Nonv"
"18","ALB11COF3_Nonv","CWD",1,12,20,"Ac","ALB11_Nonv","Clone B","Nonv"
"19","ALB12COF1_Kyam","CLR",1,12,5,"Ac","ALB12_Kyam","Op2","Kyam"
