"","sample_code","CWD_infected_leaves","CLR_infected_leaves","CRBD_infected_leaves","CRBD_infected_berries","berries_mean_per_branch","berries","leaves","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class","CWD_leaf_incidence","CLR_leaf_incidence","CRBD_leaf_incidence","CRBD_leaf_incidence_berries"
"1","ALB10COF1_Kita",3,37,12,0,4,53,148,"Ac","Kitagweta","Op2",3,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"[0-8]",0.0202702702702703,0.25,0.0810810810810811,0
"2","ALB10COF2_Kita",0,50,8,112,20,235,80,"Ac","Kitagweta","Op2",9,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"(8-16]",0,0.625,0.1,0.474576271186441
"3","ALB10COF3_Kita",0,33,9,120,23,276,214,"Ac","Kitagweta","Op2",20,0.04,"ALB10_Kita","31° 28′ 26″ E","0° 37′ 30.6″ N",31.4738888888889,0.625166666666667,"(16-22]",0,0.154205607476636,0.0420560747663551,0.433212996389892
"4","ALB11COF1_Nonv",5,49,3,171,115,1378,268,"Ac","Nonve","Clone A",5,5.36,"ALB11_Nonv","31° 27′ 47″ E","0° 38′ 16.3″ N",31.4630555555556,0.637861111111111,"[0-8]",0.0186567164179104,0.182835820895522,0.0111940298507463,0.124002900652647
"5","ALB11COF2_Nonv",7,8,0,0,11,134,571,"Ac","Nonve","Clone A",10,5.36,"ALB11_Nonv","31° 27′ 47″ E","0° 38′ 16.3″ N",31.4630555555556,0.637861111111111,"(8-16]",0.0122591943957968,0.0140105078809107,0,0
"6","ALB11COF3_Nonv",2,46,0,35,37,440,327,"Ac","Nonve","Clone B",20,5.36,"ALB11_Nonv","31° 27′ 47″ E","0° 38′ 16.3″ N",31.4630555555556,0.637861111111111,"(16-22]",0.00611620795107034,0.140672782874618,0,0.0793650793650794
"7","ALB12COF1_Kyam",1,30,19,74,51,609,154,"Ac","Kyamutuma","Op2",5,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"[0-8]",0.00649350649350649,0.194805194805195,0.123376623376623,0.121311475409836
"8","ALB12COF2_Kyam",0,42,41,103,70,835,193,"Ac","Kyamutuma","Op2",10,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"(8-16]",0,0.217616580310881,0.212435233160622,0.123205741626794
"9","ALB12COF3_Kyam",3,56,25,23,40,483,262,"Ac","Kyamutuma","Op2",20,0.08,"ALB12_Kyam","31° 27′ 33.8″ E","0° 38′ 44″ N",31.4593888888889,0.645555555555556,"(16-22]",0.0114503816793893,0.213740458015267,0.0954198473282443,0.0475206611570248
"10","ALB13COF1_Nonv",0,24,17,63,42,505,274,"Ac","Nonve","Op2",3,0.73,"ALB13_Nonv","31° 27′ 37.5″ E","0° 38′ 44.2″ N",31.4604166666667,0.645611111111111,"[0-8]",0,0.0875912408759124,0.062043795620438,0.124505928853755
"11","ALB13COF2_Nonv",0,38,19,22,13,159,210,"Ac","Nonve","Op2",10,0.73,"ALB13_Nonv","31° 27′ 37.5″ E","0° 38′ 44.2″ N",31.4604166666667,0.645611111111111,"(8-16]",0,0.180952380952381,0.0904761904761905,0.1375
"12","ALB13COF3_Nonv",1,32,17,19,22,268,143,"Ac","Nonve","Op2",20,0.73,"ALB13_Nonv","31° 27′ 37.5″ E","0° 38′ 44.2″ N",31.4604166666667,0.645611111111111,"(16-22]",0.00699300699300699,0.223776223776224,0.118881118881119,0.0706319702602231
"13","ALB14COF1_Nonv",0,39,6,58,52,630,199,"Ac","Nonve","Op2",5,20.37,"ALB14_Nonv","31° 27′ 37.8″ E","0° 38′ 42.5″ N",31.4605,0.645138888888889,"[0-8]",0,0.195979899497487,0.0301507537688442,0.0919175911251981
"14","ALB14COF2_Nonv",3,51,14,65,34,408,162,"Ac","Nonve","Op2",10,20.37,"ALB14_Nonv","31° 27′ 37.8″ E","0° 38′ 42.5″ N",31.4605,0.645138888888889,"(8-16]",0.0185185185185185,0.314814814814815,0.0864197530864197,0.158924205378973
"15","ALB14COF3_Nonv",2,36,15,32,42,498,210,"Ac","Nonve","Op2",19,20.37,"ALB14_Nonv","31° 27′ 37.8″ E","0° 38′ 42.5″ N",31.4605,0.645138888888889,"(16-22]",0.00952380952380952,0.171428571428571,0.0714285714285714,0.064128256513026
"16","ALB15COF1_Nonv",3,97,0,142,73,878,235,"Ac","Nonve","Clone H",3,2.96,"ALB15_Nonv","31° 27′ 42.8″ E","0° 38′ 42.8″ N",31.4618888888889,0.645222222222222,"[0-8]",0.0127659574468085,0.412765957446808,0,0.161547212741752
"17","ALB15COF2_Nonv",2,53,4,84,130,1564,120,"Ac","Nonve","Clone C",10,2.96,"ALB15_Nonv","31° 27′ 42.8″ E","0° 38′ 42.8″ N",31.4618888888889,0.645222222222222,"(8-16]",0.0166666666666667,0.441666666666667,0.0333333333333333,0.0536741214057508
